Timestamp	 [There are adults at Girls Inc. I can depend on to help me.]	 [Adults at Girls Inc. listen to what I have to say.]	 [I feel safe at Girls Inc.]	 [At Girls Inc., I get the chance to be a leader.]	 [At Girls Inc., girls learn they can do anything boys can do.]	 [At Girls Inc., girls work together on projects and activities.]	 [At Girls Inc., I get to try new things.]	 [I am happy with how my body looks.]	 [I care about doing well in school.]	 [If something interests me, I try to learn more.]	 [Girls like me can be leaders.]	 [When I get angry or frustrated, I lose my temper.]	 [I know I can handle my problems.]	What would you like to learn during your time at Girls Inc.?	What should Girls Inc. add to programming to better serve our youth?	manual_added_liketolearn_enum	manual_added_addprogramming_enum
3/16/2026 14:19:01	Agree	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree	Agree	Agree	Strongly Disagree	Most of the time	All of the time	Strongly Agree	Strongly Agree	Agree	swim	more food	swim	food
3/16/2026 14:32:50	Strongly Agree	Agree	Disagree	Agree	Strongly Agree	Agree	Agree	Strongly Agree	Most of the time	Most of the time	Strongly Agree	Strongly Disagree		I would like to learn how to get better at basketball MORE	learn to listen when little kids are talking and be RESPECTFUL	sports	respect
3/16/2026 14:45:01	Agree	Strongly Agree	Agree	Strongly Agree	Disagree	Agree	Strongly Agree	Strongly Agree			Strongly Agree	Agree	Strongly Agree	I like learing how to bake 	more health and beauty 	cooking	beauty
3/16/2026 15:13:07	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	All of the time	All of the time	Strongly Agree	Agree	Strongly Agree	how to bake stuff	make a cooking class	cooking	cooking
3/16/2026 15:18:30	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Agree	How to be a teacher	more programs	teaching	change
3/16/2026 15:23:31	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Disagree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Agree	To crotchet	Get more big brother big sister games	crafts	unknown
3/16/2026 15:28:10	Strongly Agree	Agree	Agree	Disagree	Disagree	Strongly Agree	Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Strongly Agree	Strongly Disagree	math	math	math	math
3/16/2026 15:36:50	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Some of the time	None of the time	Strongly Agree	Agree	Strongly Agree	I would like to learn how to play basketball.	Girls Inc can add more games.	sports	sports
3/16/2026 15:47:55	Agree	Agree	Agree	Agree	Strongly Agree	Agree	Strongly Agree	Agree	All of the time	Most of the time	Strongly Agree	Agree	Agree	I already learn what I need to know	girls inc should by diffrent cloths that don't look good so we can make them better	nothing	crafts
3/16/2026 16:00:38	Agree	Strongly Agree	Agree	Disagree	Strongly Disagree	Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Agree	Agree	Agree	At girls inc I would like to learn to do gymnastics.	Girls Inc should add gymnastics	sports	sports
3/16/2026 16:26:36	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	All of the time	All of the time	Strongly Agree	Disagree	Strongly Agree	How to make food to taste better	being strong	cooking	general
3/16/2026 17:14:56	Strongly Agree	Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Agree	Disagree	Most of the time	All of the time	Strongly Agree	Strongly Agree	Disagree	More stem	Games club	games	general
3/16/2026 17:21:27	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	All of the time	Some of the time	Strongly Agree	Agree	Strongly Agree	I would like to do more hands on STEM activities that are interesting to the older girls.G	Girls Inc should add more clubs or add more structure to clubs so its not the same thing day to day or week to week.	stem	change
3/17/2026 15:14:19	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Disagree	Strongly Agree	Strongly Agree	Agree	All of the time	All of the time	Strongly Agree	Agree	Strongly Agree	cooking	idk	cooking	nothing
